Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Dave Krieg,SEA,QB,25.0,9.0,8.0,147.0,243.0,2139.0,18.0,11.0,16.0,55.0,3.44,2.0,1.0,11.0,11.0,0.0,10.0,,2.0,0.0,0.0,154.0,145.2,164.2,155.7,0.0,19.0,,1983,0.0
Mike Pagel,BAL,QB,23.0,15.0,15.0,163.0,328.0,2353.0,12.0,17.0,54.0,441.0,8.17,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,152.0,148.2,173.2,165.2,0.0,20.0,,1983,0.0
Eric Hipple,DET,QB,26.0,16.0,16.0,204.0,387.0,2577.0,12.0,18.0,41.0,171.0,4.17,3.0,0.0,0.0,0.0,0.0,12.0,,3.0,0.0,0.0,150.0,138.2,168.2,156.2,0.0,21.0,,1983,0.0
Wendell Tyler,SFO,RB,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,176.0,856.0,4.86,4.0,34.0,285.0,8.38,2.0,7.0,,6.0,0.0,0.0,150.0,177.1,186.6,160.1,0.0,25.0,,1983,0.0
Ted Brown,MIN,RB,26.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,120.0,476.0,3.97,10.0,41.0,357.0,8.71,1.0,2.0,,11.0,0.0,0.0,149.0,188.3,195.3,167.8,0.0,26.0,,1983,0.0
Jack Thompson,TAM,QB,27.0,14.0,13.0,249.0,423.0,2906.0,18.0,21.0,26.0,27.0,1.04,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,149.0,138.9,167.9,159.9,0.0,22.0,,1983,0.0
Matt Suhey,CHI,RB,25.0,16.0,13.0,1.0,1.0,74.0,1.0,0.0,149.0,681.0,4.57,4.0,49.0,429.0,8.76,1.0,5.0,,5.0,0.0,0.0,148.0,192.0,200.5,167.5,0.0,27.0,,1983,0.0
Butch Woolfolk,NYG,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,246.0,857.0,3.48,4.0,28.0,368.0,13.14,0.0,8.0,,4.0,0.0,0.0,147.0,166.5,176.5,152.5,0.0,28.0,,1983,0.0
Tony Nathan,MIA,RB,27.0,16.0,12.0,3.0,4.0,46.0,0.0,0.0,151.0,685.0,4.54,3.0,52.0,461.0,8.87,1.0,2.0,,4.0,0.0,0.0,140.0,190.4,197.4,164.4,0.0,29.0,,1983,0.0
James Wilder,TAM,RB,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,161.0,640.0,3.98,4.0,57.0,380.0,6.67,2.0,1.0,,6.0,0.0,0.0,138.0,194.0,200.5,165.5,0.0,30.0,,1983,0.0
